ensembl_gene_id	chromosome_name	external_gene_name	A	A	A	A	A	B	B	B	B	B
ENSG00000000003	X	TSPAN6	6,013469571	6,012871351	6,07029446	6,133568965	6,274131621	6,198873524	6,314210564	6,440151526	6,349611003	6,284695732
ENSG00000000005	X	TNMD	-0,14214004	-1,445886446	-0,947711314	-1,445886446	-1,445886446	-0,708757719	-1,445886446	-1,445886446	-1,445886446	-1,445886446
ENSG00000000419	20	DPM1	4,935061152	4,463583967	4,954031719	5,387210252	4,77383755	4,819418052	5,130369466	4,99846923	4,773859712	5,455649097
ENSG00000000457	1	SCYL3	1,816781077	2,718415724	2,382776113	2,942459148	2,10032102	2,11839578	2,352809797	3,0017964	1,86190216	3,201285173
ENSG00000000460	1	C1orf112	3,7369551	3,821410028	3,897527276	4,211196298	3,51966017	4,208055647	4,418777005	4,534705147	4,111813553	4,585741112
ENSG00000001036	6	FUCA2	4,659983335	4,734418091	4,52563543	4,271741369	4,295720452	4,733861544	5,177496428	4,98489359	4,64684588	5,107996746
ENSG00000001084	6	GCLC	5,147167046	4,639546518	4,587959942	4,922613261	4,61195789	4,538988748	4,656544922	4,646362515	4,233432749	4,70144096
ENSG00000001167	6	NFYA	2,797784666	1,518337525	1,858781348	2,199449371	1,448979327	3,172918721	3,126340007	2,849906228	3,064619652	3,707104804
ENSG00000001460	1	STPG1	2,4100523	2,912337535	3,256042754	3,378317636	2,814272377	3,549832777	3,467495525	3,549000635	3,68527439	3,576675637
ENSG00000001461	1	NIPAL3	6,411008798	6,565554603	6,395476673	6,357698129	6,721980147	6,634166541	6,633702795	6,039907137	6,611058147	6,384309563
ENSG00000001497	X	LAS1L	4,651496282	5,168108246	4,925199273	5,352474243	5,083053884	5,676246238	6,132608953	6,098918269	6,198751725	5,81304899
ENSG00000001561	6	ENPP4	2,995375994	3,341115477	2,590040044	4,031358598	2,78885718	2,520728488	2,442981718	2,725677408	2,546176209	2,666435862
ENSG00000001617	3	SEMA3F	2,556013877	2,886127373	2,787039858	2,601081735	2,770013952	0,993211553	1,471058292	2,169250936	2,542028479	2,420306297
ENSG00000001626	7	CFTR	-0,066429021	-0,30783538	-0,544817355	0,441462965	0,159545774	-0,495693027	-1,158184466	-1,143735793	-1,157666611	-0,659794626
ENSG00000001629	7	ANKIB1	5,454561312	5,414952148	5,264235059	5,323438841	5,425549227	5,685947293	5,593056605	5,501902594	4,632087334	5,326688353
ENSG00000001631	7	KRIT1	4,935248571	5,07155029	4,970923587	4,838811533	4,352315625	5,224808033	5,012173635	5,118120759	4,485855866	5,211671761
ENSG00000002016	12	RAD52	3,509986624	3,089508944	3,182701884	3,191625085	3,260788851	3,393890719	3,918819933	2,956135531	3,548395429	3,288909432
ENSG00000002079	7	MYH16	-0,21245702	0,091384221	-0,290824655	-0,795949597	-0,565041599	-1,445886446	-0,941273303	-0,465167865	-1,445886446	-1,445886446
ENSG00000002330	11	BAD	5,174907029	4,425645688	4,425021245	4,966768704	4,865610826	3,983063057	4,075410639	4,766124304	4,689747076	3,947473147
ENSG00000002549	4	LAP3	3,21093556	2,042751312	2,597908944	3,334543816	1,970652252	3,359021991	3,112555108	3,288129406	3,347006069	3,433697392
ENSG00000002586	X	CD99	6,093228802	6,241918791	6,519384293	6,667980725	6,557765083	6,989833501	7,146912775	7,229085477	7,336157281	7,189089464
ENSG00000002587	4	HS3ST1	-1,445886446	-0,144966151	-1,155877645	-0,655754597	-0,961793072	-0,425929374	-1,445886446	-1,445886446	-0,665082223	-1,158612783
ENSG00000002745	7	WNT16	-1,134572453	-1,445886446	-0,947711314	-1,445886446	-1,445886446	-1,445886446	-1,150326491	-1,143444584	-1,445886446	-0,794323295
ENSG00000002746	7	HECW1	2,986181126	3,510666222	3,574198638	2,427710311	2,749974517	2,995038024	3,004259265	1,498433962	2,414080802	2,327245178
ENSG00000002822	7	MAD1L1	5,36139992	5,165593771	5,512165009	5,24909002	5,31896283	4,904486282	5,055782183	5,214088461	4,697805093	5,115318495
ENSG00000002834	17	LASP1	5,658572483	6,249532077	6,370196279	6,537113763	6,484763402	6,081746178	6,110902777	5,931980819	6,155885499	6,120933651
ENSG00000002919	17	SNX11	3,412193554	3,287275754	3,370740147	2,945149178	3,342502076	3,262274931	3,193432471	3,595991527	3,179917113	2,929071625
ENSG00000003056	12	M6PR	4,364614924	4,561836168	4,594084563	5,149381137	5,021235978	5,371203169	5,225518075	5,431541178	5,427031182	5,310217392
ENSG00000003096	X	KLHL13	4,092520527	3,745822072	4,130309625	4,267055162	3,763095669	4,116498154	4,236482439	4,480957941	4,124920203	4,399966077
ENSG00000003137	2	CYP26B1	1,670307097	2,823805928	1,937973704	0,392172584	2,429297376	-0,399686793	0,720000574	1,036680472	1,164322975	0,632207956
ENSG00000003147	7	ICA1	2,77748819	3,304045427	3,461807686	3,176858825	2,922631215	2,224210761	2,88348739	2,559716465	2,79738822	1,937345978
ENSG00000003249	16	DBNDD1	4,213763873	4,285007175	3,497386449	3,566176755	4,520933382	3,587551922	3,667064928	4,723017948	4,003617704	3,729390692
ENSG00000003393	2	ALS2	3,84107885	3,710124087	3,835444359	3,513956922	3,163237737	3,409345767	3,909292723	4,190775367	3,578677093	3,818820406
ENSG00000003400	2	CASP10	1,811710969	2,858767754	2,470368369	2,61517679	1,885042666	2,108596036	1,604769577	2,383405232	2,14065174	2,365255164
ENSG00000003402	2	CFLAR	5,734236137	5,88891741	5,835831566	5,610721039	5,164784551	5,507558384	5,531355653	5,386620494	5,460020149	5,339872944
ENSG00000003436	2	TFPI	4,969497832	5,36226206	5,388548981	5,657910148	4,866193662	5,029776388	5,054535864	4,822809689	4,887799493	4,869210585
ENSG00000003509	2	NDUFAF7	3,058330803	3,016128074	2,769302548	3,649842079	3,118310241	3,584144013	3,410823697	3,939559522	3,276061101	3,66498668
